delegator_address,shares
akash1um7qp57h59ec7ccezjxzlkvg25rylfmz08wduv,25258987709827.14
akash1t8ffhh6haulx84juyjjuaf8gpsevzmv83d5l8z,7500000001057.314
akash10wml2nm05qz4a4h9dyf4arxu9kynwwyval8e0h,7278406999999.0
akash1pv9fm995q4vwkcqkt5vuuakv7rfpvgrk2n6cr7,6142485644069.895
akash1rwjyvv3re39tp8h5a90rtdy5tr0z5vndmzt0mf,4000000000000.0
akash1hk89haz06f4q9z7tepah6sprjcgsa6vqqhuwwu,3996336402761.0
akash1qvsus5qg8yhre7k2c78xkkw4nvqqgev7gv6gj6,3988334130000.0
akash10ven70nt35qr3yjgcl7psustkmrfu35qmnar8h,2329361962208.0
akash1m4zq72erd8pwexwvkkxfrakxfc0fw6gv3hq9cu,1898070000000.0
akash1lhenngdge40r5thghzxqpsryn4x084m9jkpdg2,1893272198920.0
akash1jetpnq0x0pwv6p5js6zzlcjzprprjwhxsgs6qj,1700000000000.0
akash1ham5qwp4hks56zv587y24new7ap0md5sryzt8c,1503000000000.0
akash1gkjcpagfurqqxkh6x85u8gkjfka8srhfrfgx8n,1333333000000.0
akash13c7jmljy77g6r89vpy4rala8yp2x3n7snys0u9,1300040000000.0
akash1srf9uyumkcrapmqdeheje4jh0w9evnck0k2s6a,1215006040362.0
akash1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4kxvc460,1202100000000.0
akash1qt0hg4nxv328t286m8j5u0y49lj3x5apymql3s,1136140000000.0
akash1cqkn0thdxu2dpzhvd5sswhs0l6827p98dc989t,1028902000000.0
akash1q07u5g9s5cy5d3tj923v0nt870x073elt7wgcq,1008463857689.0
akash1tdrq5vs8wkun9nppxgdrk25j66zvm6kecnp34g,956680000000.0
akash1gg6e4cencdt3ukvhx97wfhde7cf3u9e9hc50m0,936667000000.0
akash1thyr74ez4kaupm9m3qmv7tpm5h0xukmweckesk,915934631557.263
akash1xlelgcl65j4qw9gnld54p05khht24yj7vqm92l,909361862103.0
akash1f7d0996fmcznc5jkk05efs5za785kwz4y4fngr,833106622936.0
akash1ks6reef8vht04cxf8knqwguh3tp8fn34w72mkf,780597000000.0
akash15x8kq9ga6n7ec9p6g5udgh3q0vn328zzmf5gtp,666675328379.8488
akash1nulcpgcj5cnzqm83yrg7rlehpzx6fq6dmrz7dt,666666000000.0
akash129c0geltptycthu0738qlwpsqrdr992p2cr8gs,666620000000.0
akash1hl6kfj4y7q8rluv94f80jdzy55uyyph6q0yg2m,634348614897.0
